set,city,label_id,pano_id,present
hf_validated,pittsburgh-pa,14537,HycRp-PCVOgiwXhzFShbOg,1
hf_validated,seattle-wa,120469,VJYdOa7Jb5kYUJgFzF6byQ,1
hf_validated,chicago-il,2873,7isK2c-aoCI3_aB8X84FTg,1
hf_validated,pittsburgh-pa,18028,0FvD01MSEQY8wBDlTi7j2g,1
hf_validated,oradell-nj,7108,ZWMnBBRzsSs2qVtlmZxciw,1
hf_validated,seattle-wa,195170,KaP5s8xm_n1iHSU_I9xyHg,1
hf_validated,oradell-nj,8904,oYGjHHGgsDfdJJePEqou3w,1
hf_validated,columbus-oh,23400,qH_eeWCEfwIOIo2krVbgAQ,1
hf_validated,seattle-wa,209451,MhwMsLQXv35YwIxWpV-Dvw,1
hf_validated,cdmx,7502,ugCLiltlUMpbKshHVQAbbQ,1
hf_validated,pittsburgh-pa,10650,ea--PR7aLO_mrs-qZTQwUg,1
hf_validated,seattle-wa,1487,gpU96yV3NI777PrVQ7U4kg,1
hf_validated,columbus-oh,23134,hwacM1O8gWJKua8iXu2Sww,1
hf_validated,chicago-il,10229,2JhJ9GdlI7MBRosvtV2lOw,1
hf_validated,seattle-wa,187434,klJ_1HEBklH3rHQ8_bO-lA,1
hf_validated,seattle-wa,240657,19gs81Bd2FUnkWFXFImuAg,1
hf_validated,chicago-il,7534,ebEIHkUbVqOlga32pXTYdQ,1
hf_validated,chicago-il,211,cgYWsqLyV-DbNPc5utqxtA,1
hf_validated,seattle-wa,178233,LipQfGrlz9btNu5SY0HGFA,1
hf_validated,cdmx,14842,dwKH9wBvKOzmONNwvI1ciA,1
hf_validated,columbus-oh,27586,cXk_VXz71bXKmh2K_1YZVQ,1
hf_validated,seattle-wa,8123,dM-UgbeMz2MM1VOHDt791g,1
hf_validated,oradell-nj,6582,wP1VYM-m0d7Vt3zD2glWog,1
hf_validated,oradell-nj,4124,8XsdbEoPXE3VXYOG1W9LkQ,1
hf_validated,seattle-wa,239154,R8vVl2F2blHhRfLGU5MhyA,1
hf_validated,newberg-or,15407,_600CW3PIZoSo5Cc_kcjZw,1
hf_validated,seattle-wa,237507,KRwkh1U6x6I4gE4SlYHvfg,1
hf_validated,oradell-nj,1861,QuL0UHIM6BBXiFpvf7wJFw,1
hf_validated,columbus-oh,26875,DMaa8Q4-y46GMRQzdm7Wcg,1
hf_validated,spgg,16240,j7HQO_RHeE0aZM-w8QfU-A,1
hf_validated,chicago-il,4964,j18XAqJbyQonDXQcu2H7vg,1
hf_validated,oradell-nj,13092,Vt97GiZnUV_5dfj6ZRhBvA,1
hf_validated,seattle-wa,65305,934QwtWIzI1GywMXzqzqbw,1
hf_validated,seattle-wa,182286,QocVVHJBDHVrMFgke6QKjQ,1
hf_validated,oradell-nj,8125,KUbfGTaO14UZirrgbuRA5g,1
hf_validated,columbus-oh,16106,2ZTzzKZlCIPOYhJnzJN0sw,1
hf_validated,chicago-il,200,DGa0dRGy0ruPxFv3516PqA,1
hf_validated,pittsburgh-pa,5435,Pqy6W8YkpzymaNBRGV2n7A,1
hf_validated,seattle-wa,24608,wW3tGszLMnmhYPnt64DtYw,1
hf_validated,columbus-oh,35256,JA4rWfcoPArggHN-be0dUQ,1
hf_validated,newberg-or,2476,NpDabYZ03etwCX5GmasCww,1
hf_validated,columbus-oh,26579,VBwwtAZg4Zia6KWGRyCtiA,1
hf_validated,columbus-oh,21669,cXFx2YAzjTyv9Mdrgkv4xA,1
hf_validated,seattle-wa,190587,vdcpEAn4DqSf_isMtCIj_g,1
hf_validated,chicago-il,18334,mS_lSCRSCTkqULEop89Mdw,1
hf_validated,seattle-wa,124672,jplPUkwNezl3sJZ6v2A22A,1
hf_validated,spgg,37040,dgB44ZIbK7ISs3mpZA_tFQ,1
hf_validated,seattle-wa,128996,ForKmgBd1W-63xHGrYtBtA,1
hf_validated,chicago-il,26681,TQGWNAknkFeCqFwILmvkIg,1
hf_validated,oradell-nj,4221,vYC3MwX_0ZcFho5xfFC0hw,1
hf_validated,seattle-wa,265305,VpGJh3nVevh2Ayo5MCcWng,1
hf_validated,columbus-oh,838,TpgR1_CFiayYv_D28W6GNg,1
hf_validated,cdmx,3893,qZujp3pYqVdwxxpFvT7Uew,1
hf_validated,chicago-il,2962,esGycsVo6uRn0FwKkmmO-A,1
hf_validated,chicago-il,17634,DGAw-5Pjl1PZGfmn_ru5Xw,1
hf_validated,newberg-or,5647,zJa4Yue7Qz1CXAKnqJKZyg,1
hf_validated,spgg,27682,ALOs1-eZlwdjxSd1E1sB0g,1
hf_validated,oradell-nj,8733,QPuv83i5Lqe8CfY5nAOdzw,1
hf_validated,oradell-nj,689,rqzy5vdUrTqdpgMTdb-69w,1
hf_validated,seattle-wa,139631,l8mCb1FNLvb3ddGPbNXwfQ,1
hf_validated,spgg,56975,o5P6K_6o5Nyl86m5uIcBnA,1
hf_validated,seattle-wa,183087,Qys3ixT0s61vXz7RJzDkng,1
hf_validated,spgg,17752,X74GML8s57LDRnmNZScT-w,1
hf_validated,newberg-or,4957,IJ70FCDd9sg43W0cPWZPeg,1
hf_validated,chicago-il,5233,UFRh5ciE4mMgj_6Zbgifeg,1
hf_validated,cdmx,5270,yWAmvJ1aNwIJvi_a9E6csA,1
hf_validated,oradell-nj,4546,bDhb0R_h0ibh-y_tz72Gvg,1
hf_validated,columbus-oh,17357,76chgx6GA3c-bS18H7Sslg,1
hf_validated,newberg-or,822,sVXXMw7GzJSW1BR-v2bhVw,1
hf_validated,newberg-or,3835,nc8dRsMhoBuCFIvAQLv_EA,1
hf_validated,oradell-nj,11203,AK0xN_YlwcXiXk9BQlcSeA,1
hf_validated,columbus-oh,13958,czvXP0J_Dq2qH5FIvrz4Ug,1
hf_validated,newberg-or,14678,6EMYiCs9RrBuRYJQ9ALv9Q,1
hf_validated,cdmx,3533,KVfIR_w-Wny0J1z0WBSQ_g,1
hf_validated,newberg-or,4958,IJ70FCDd9sg43W0cPWZPeg,1
hf_validated,columbus-oh,14813,bYSrXEOX9Z9mxazkqD_p2w,1
hf_validated,seattle-wa,30901,0e1DGFHW5_OhmnHFgR7G5w,1
hf_validated,columbus-oh,783,dB4e5ZvLsZz5hs_Ktu5WwA,1
hf_validated,chicago-il,1056,4r2otUcSe_ygEVddz8b0tw,1
hf_validated,seattle-wa,4321,3aC7CzZpySQVwIyEE58gNg,1
hf_validated,oradell-nj,2911,3FGtkzuXbvbaq-WdMrO7-g,1
hf_validated,columbus-oh,23295,lMu2J03WrDidJnNQvyDe8A,1
hf_validated,columbus-oh,727,Aebnm-W785zdREkrU7wCvw,1
hf_validated,chicago-il,9035,Ks-IbGDCMhU7CAX-LUOJWA,1
hf_validated,oradell-nj,9739,f3fm2jDh8qE84FpTW0WwFw,1
hf_validated,seattle-wa,138342,xyGyKXl8TjTOuWK_6DD10A,1
hf_validated,seattle-wa,195221,z6D4FfIfbFSUoXm3z217qQ,1
hf_validated,spgg,51820,fZSZgfOnoRWdP1OCj-l3YA,1
hf_validated,pittsburgh-pa,15523,eoDq1FFqpvHaTRFz_KOpXQ,1
hf_validated,seattle-wa,1488,gpU96yV3NI777PrVQ7U4kg,1
hf_validated,oradell-nj,11667,49cbvrRSrObGF9sIDL2Z_w,1
hf_validated,newberg-or,4579,k_uswPctAOII9HIISeRG2A,1
hf_validated,seattle-wa,245785,hG_9DIyDaXl6RPyITtSdIQ,1
hf_validated,pittsburgh-pa,8971,I8adbLBvUb95LhllpkUVtw,1
hf_validated,chicago-il,8761,CKrWu9b_jaNmmJZnIw2GQg,1
hf_validated,walla-walla,343,HMHMYHhk9Uno43pKKOiUkg,1
hf_validated,spgg,9421,st2hEPWKWFhoOyK1nx3zmA,1
hf_validated,pittsburgh-pa,9774,TtVi8AU4AtoCds3PHydaqQ,1
hf_validated,columbus-oh,21712,z2dHrMq6QE2_VKU1EbPWpA,1
hf_validated,chicago-il,122,BSw5lDh8p0StAY38Ne7eCQ,1
hf_validated,columbus-oh,21605,2NwQx6Fi2erz0UUGpb20Fw,1
hf_validated,chicago-il,9408,e48Exbo2JVhQOzoOxG8jbg,1
hf_validated,chicago-il,14079,_5AAyzqRgHvPKoTx-hVNbA,1
hf_validated,walla-walla,1173,d1dHFR6f4m0hGX6dIh7mNw,1
hf_validated,columbus-oh,1754,WfLcqN2o0_MTsX8rwZqBPg,1
hf_validated,seattle-wa,149184,KNdvQoqihZPDuQrfoMT6sw,1
hf_validated,seattle-wa,116317,S8Hu71awFN1FqTaPqoVnfw,1
