group,arm,threshold,precision,recall,f1,precision_lo,precision_hi,recall_lo,recall_hi,tp,fp,fn,ignored,dets_per_pano,n_panos
annapolis,tta,0.24,0.8491228070175438,0.8231292517006803,0.8359240069084629,0.8029406880975126,0.8860182430259821,0.77542786056029,0.8624951159480285,242,43,52,8,2.344,125
annapolis,tta,0.25,0.8551236749116607,0.8231292517006803,0.8388214904679375,0.80935769753126,0.8913774817453861,0.77542786056029,0.8624951159480285,242,41,52,8,2.328,125
annapolis,tta,0.26,0.8612099644128114,0.8231292517006803,0.8417391304347827,0.8158937087535488,0.896783091264426,0.77542786056029,0.8624951159480285,242,39,52,8,2.312,125
annapolis,tta,0.27,0.8612099644128114,0.8231292517006803,0.8417391304347827,0.8158937087535488,0.896783091264426,0.77542786056029,0.8624951159480285,242,39,52,8,2.312,125
annapolis,tta,0.28,0.8731884057971014,0.8197278911564626,0.8456140350877194,0.8287420009403274,0.9073887244414601,0.7717517938752735,0.8594562039329575,241,35,53,8,2.272,125
annapolis,tta,0.29,0.8759124087591241,0.8163265306122449,0.8450704225352113,0.8316018562873801,0.9098277928364373,0.7680813599736576,0.8564116591344859,240,34,54,8,2.256,125
annapolis,tta,0.3,0.8754578754578755,0.8129251700680272,0.8430335097001764,0.8310034409732229,0.909492207079671,0.7644164399450113,0.8533616004630447,239,34,55,6,2.232,125
annapolis,tta,0.31,0.8851851851851852,0.8129251700680272,0.8475177304964538,0.8416377451525872,0.9179254475836516,0.7644164399450113,0.8533616004630447,239,31,55,6,2.208,125
annapolis,tta,0.32,0.8880597014925373,0.8095238095238095,0.8469750889679715,0.8446955641460496,0.920455906416219,0.7607569202114047,0.8503061414965637,238,30,56,6,2.192,125
annapolis,tta,0.33,0.8905660377358491,0.8027210884353742,0.8443649373881932,0.8472521657262271,0.9227179579451095,0.7534536520879713,0.8441794522198218,236,29,58,6,2.168,125
annapolis,tta,0.34,0.9007633587786259,0.8027210884353742,0.8489208633093525,0.8585677855726587,0.9313763014325352,0.7534536520879713,0.8441794522198218,236,26,58,6,2.144,125
annapolis,tta,0.35,0.9042145593869731,0.8027210884353742,0.8504504504504503,0.8624251704225583,0.9342774623964549,0.7534536520879713,0.8441794522198218,236,25,58,6,2.136,125
annapolis,tta,0.36,0.9111969111969112,0.8027210884353742,0.8535262206148283,0.8702760475736321,0.9400979571501255,0.7534536520879713,0.8441794522198218,236,23,58,6,2.12,125
annapolis,tta,0.37,0.9111969111969112,0.8027210884353742,0.8535262206148283,0.8702760475736321,0.9400979571501255,0.7534536520879713,0.8441794522198218,236,23,58,6,2.12,125
annapolis,tta,0.38,0.914396887159533,0.7993197278911565,0.8529945553539019,0.8737964799662181,0.9427910582178751,0.7498097004502805,0.8411084251574251,235,22,59,6,2.104,125
annapolis,tta,0.39,0.9212598425196851,0.7959183673469388,0.854014598540146,0.8815144676674032,0.9484524577627835,0.7461707420869597,0.8380324048206584,234,20,60,6,2.08,125
annapolis,tta,0.4,0.9209486166007905,0.7925170068027211,0.8519195612431444,0.8810585447690632,0.9482463653389567,0.7425366857494138,0.8349514824581168,233,20,61,6,2.072,125
annapolis,tta,0.41,0.9246031746031746,0.7925170068027211,0.8534798534798536,0.8852515610518821,0.9512034955143684,0.7425366857494138,0.8349514824581168,233,19,61,5,2.056,125
annapolis,tta,0.42,0.928,0.7891156462585034,0.8529411764705883,0.8890706197648033,0.9539748069895191,0.7389074439313249,0.8318657455761179,232,18,62,5,2.04,125
annapolis,tta,0.43,0.928,0.7891156462585034,0.8529411764705883,0.8890706197648033,0.9539748069895191,0.7389074439313249,0.8318657455761179,232,18,62,5,2.04,125
annapolis,tta,0.44,0.9317269076305221,0.7891156462585034,0.8545119705340699,0.8933943172213908,0.9569404378189189,0.7389074439313249,0.8318657455761179,232,17,62,5,2.032,125
annapolis,tta,0.45,0.9349593495934959,0.782312925170068,0.8518518518518519,0.8969702646205794,0.9595724408375989,0.7316630713436079,0.8256801607636599,230,16,64,5,2.008,125
annapolis,tta,0.46,0.9382716049382716,0.7755102040816326,0.8491620111731844,0.900662750944018,0.96223880211673,0.7244369917972058,0.8194762829098869,228,15,66,5,1.984,125
annapolis,tta,0.47,0.9380165289256198,0.7721088435374149,0.8470149253731343,0.9002626146322834,0.962081268583576,0.7208306275991455,0.8163676684078595,227,15,67,5,1.976,125
annapolis,tta,0.48,0.9414225941422594,0.7653061224489796,0.8442776735459663,0.9040892995990207,0.9647898380775551,0.713630906047334,0.8101374325594959,225,14,69,5,1.952,125
annapolis,tta,0.49,0.9453781512605042,0.7653061224489796,0.8458646616541354,0.9088023203717762,0.9678045164999612,0.713630906047334,0.8101374325594959,225,13,69,5,1.944,125
annapolis,tta,0.5,0.9493670886075949,0.7653061224489796,0.8474576271186441,0.9135966324911757,0.9708020760375833,0.713630906047334,0.8101374325594959,225,12,69,5,1.936,125
annapolis,tta,0.55,0.9612068965517241,0.7585034013605442,0.8479087452471482,0.9279295978167452,0.9794590901840146,0.7064480975166352,0.8038902836900197,223,9,71,4,1.888,125
annapolis,tta,0.6,0.9675925925925926,0.7108843537414966,0.8196078431372549,0.9346283209697888,0.9842150644495313,0.6566054137498123,0.7597232656556168,209,7,85,4,1.76,125
annapolis,tta,0.65,0.9850746268656716,0.673469387755102,0.8,0.9570437091797073,0.9949113624463686,0.617927049949002,0.7245368637554636,198,3,96,3,1.632,125
annapolis,tta,0.7,0.9841269841269841,0.6326530612244898,0.7701863354037266,0.9543779603454307,0.9945874081227836,0.5761653201200952,0.6857188491833198,186,3,108,2,1.528,125
annapolis,tta,0.75,0.9883040935672515,0.5748299319727891,0.7268817204301075,0.9583635157286967,0.9967867459939139,0.5177110392774109,0.6300184921245156,169,2,125,2,1.384,125
annapolis,tta,0.8,0.9934640522875817,0.5170068027210885,0.680089485458613,0.9639094381226986,0.9988453412215571,0.4600349107266919,0.573539982773746,152,1,142,2,1.24,125
annapolis,tta,0.85,0.9921875,0.43197278911564624,0.6018957345971564,0.9570726816506786,0.998619603637121,0.37658642406790316,0.48911400193034565,127,1,167,1,1.032,125
annapolis,tta,0.9,1.0,0.282312925170068,0.4403183023872679,0.9557631365612795,1.0,0.23392298648814763,0.33631837670624837,83,0,211,1,0.672,125
budapest_district5,single,0.05,0.40754039497307004,0.7566666666666667,0.52975495915986,0.36750098633164935,0.4488464458131845,0.7050638169697229,0.8017792222981063,227,330,73,29,4.688,125
budapest_district5,single,0.1,0.4966139954853273,0.7333333333333333,0.5921938088829071,0.45028353526548665,0.5430026762242226,0.6805715919237879,0.7801948074106021,220,223,80,24,3.736,125
budapest_district5,single,0.15,0.5546875,0.71,0.6228070175438596,0.5046792744832106,0.6036123579770515,0.6562534723961281,0.7584362870048228,213,171,87,23,3.256,125
budapest_district5,single,0.2,0.6047904191616766,0.6733333333333333,0.6372239747634069,0.55145187352771,0.6557458191187847,0.6183611701576165,0.7239224407765018,202,132,98,22,2.848,125
budapest_district5,single,0.21,0.6116207951070336,0.6666666666666666,0.6379585326953747,0.5577898691808015,0.6628595292019895,0.6115114164576771,0.7176074402097443,200,127,100,22,2.792,125
budapest_district5,single,0.22,0.615625,0.6566666666666666,0.635483870967742,0.5612539909710667,0.667252785181225,0.60125876165596,0.708112963611416,197,123,103,22,2.736,125
budapest_district5,single,0.23,0.632258064516129,0.6533333333333333,0.642622950819672,0.5772664150597172,0.6840118858411194,0.5978469867996586,0.7049423613343692,196,114,104,22,2.656,125
budapest_district5,single,0.24,0.6298701298701299,0.6466666666666666,0.638157894736842,0.5746554039902667,0.6818850960584761,0.5910319849316535,0.6985926089356772,194,114,106,22,2.64,125
budapest_district5,single,0.25,0.6360655737704918,0.6466666666666666,0.6413223140495867,0.580686402428039,0.6880597768431472,0.5910319849316535,0.6985926089356772,194,111,106,22,2.616,125
budapest_district5,single,0.26,0.6445182724252492,0.6466666666666666,0.6455906821963394,0.5889326946719706,0.6964614247657963,0.5910319849316535,0.6985926089356772,194,107,106,22,2.584,125
budapest_district5,single,0.27,0.660958904109589,0.6433333333333333,0.652027027027027,0.6048847329801529,0.7128528671409929,0.5876287210234448,0.6954134957105376,193,99,107,21,2.504,125
budapest_district5,single,0.28,0.6819787985865724,0.6433333333333333,0.6620926243567753,0.6255915221880031,0.7334916791328652,0.5876287210234448,0.6954134957105376,193,90,107,19,2.416,125
budapest_district5,single,0.29,0.6942446043165468,0.6433333333333333,0.6678200692041523,0.6377424429731013,0.7454515212961903,0.5876287210234448,0.6954134957105376,193,85,107,18,2.368,125
budapest_district5,single,0.3,0.706959706959707,0.6433333333333333,0.6736474694589879,0.6503941041437874,0.7577815457585396,0.5876287210234448,0.6954134957105376,193,80,107,18,2.328,125
budapest_district5,single,0.31,0.7121771217712177,0.6433333333333333,0.6760070052539404,0.6556024915468618,0.762820338184882,0.5876287210234448,0.6954134957105376,193,78,107,18,2.312,125
budapest_district5,single,0.32,0.7180451127819549,0.6366666666666667,0.6749116607773852,0.6611644723193243,0.7687173546487934,0.5808305794961457,0.68904688297114,191,75,109,18,2.272,125
budapest_district5,single,0.33,0.7279693486590039,0.6333333333333333,0.6773618538324421,0.6709651631805289,0.7783600183619479,0.5774356684994387,0.6858594168344984,190,71,110,16,2.216,125
budapest_district5,single,0.34,0.7362204724409449,0.6233333333333333,0.6750902527075812,0.6787956796409113,0.7866063346190065,0.5672673858683439,0.6762805680655479,187,67,113,16,2.16,125
budapest_district5,single,0.35,0.7410358565737052,0.62,0.6751361161524502,0.6834948820901936,0.7913098593648906,0.5638833924466087,0.6730821843539347,186,65,114,16,2.136,125
budapest_district5,single,0.36,0.7644628099173554,0.6166666666666667,0.6826568265682658,0.7071254853664669,0.8135349724242406,0.5605020926949223,0.6698811069722727,185,57,115,16,2.064,125
budapest_district5,single,0.37,0.7676348547717843,0.6166666666666667,0.6839186691312386,0.7103667134890995,0.8165045371480472,0.5605020926949223,0.6698811069722727,185,56,115,16,2.056,125
budapest_district5,single,0.38,0.7711864406779662,0.6066666666666667,0.6791044776119404,0.7135020312926849,0.820183534514081,0.5503742249074199,0.6602618433597298,182,54,118,16,2.016,125
budapest_district5,single,0.39,0.7711864406779662,0.6066666666666667,0.6791044776119404,0.7135020312926849,0.820183534514081,0.5503742249074199,0.6602618433597298,182,54,118,16,2.016,125
budapest_district5,single,0.4,0.7748917748917749,0.5966666666666667,0.6741996233521657,0.7167884391421567,0.8240016082770397,0.5402701497811767,0.6506187870859278,179,52,121,16,1.976,125
budapest_district5,single,0.41,0.7797356828193832,0.59,0.6717267552182163,0.7214161493316997,0.8287446535738423,0.5335471696907381,0.6441770129096693,177,50,123,16,1.944,125
budapest_district5,single,0.42,0.7822222222222223,0.5866666666666667,0.6704761904761906,0.7237988677197582,0.8311701588907883,0.5301895702243481,0.6409522352427112,176,49,124,16,1.928,125
budapest_district5,single,0.43,0.7873303167420814,0.58,0.6679462571976967,0.7287091266807934,0.8361329665973188,0.5234821059002049,0.6344949453001573,174,47,126,16,1.896,125
